sentence,class,level,label
لا يوجد أعراض,no symptoms,A,0
تسرع ضربات قلب,anxiety,B,1
هبات ساخنة أو تعرق,anxiety,B,2
ارتعاش أو رجفة أو قشعريرة,anxiety,B,3
جفاف الفم ,anxiety,B,4
صعوبة التنفس,anxiety,C,5
حس غصص وشعور كتلة بالحلق أو صعوبة بلع,anxiety,C,6
الم أو انزعاج صدري,anxiety,C,7
غثيان أو عدم راحة بالبطن,anxiety,C,8
حس دوخة أو عدم ثبات أو غشي أو خفة رأس,anxiety,C,9
شعور أن الأشياء غير حقيقية تبدد الواقع أو الذات بعيدة وليست هنا حقيقية تبدد الشخصية,anxiety,C,10
الصداع,anxiety+depression,C,11
تقلبات في المزاج أو العصبية استجابة مضخمة لأي مفاجأة وفقدان السيطرة والوعي أو الجنون ,anxiety,C,12
خوف الموت,anxiety,C,13
تنميل أو نخز مثل الوخز او الخدر او الحكة,anxiety,C,14
الام أو أوجاع أو تشنج عضلي,anxiety,B,15
تململ وتوتر شديد وعدم قدرة على الاسترخاء,anxiety,B,16
صعوبة في التركيز والانتباه أو عقل فارغ وصعوبة باتخاذ القرارات أو صعوبة التفكير ,anxiety+depression,C,17
أرق أو نوم متقطع أو صعوبة البدء بالنوم بسبب الخوف,anxiety+depression,C,18
شعور بالتوتر العقلي وهواجس ومشاعر خوف بخصوص مشاكل وحوادث الحياة اليومية تستمر لمدة أقلها 6شهور,anxiety,A,19
إحساس بالضجر أو اليأس أو العجز أو انعدام الإرادة ,depression,B,20
الشعور بالذنب,depression,C,21
نوبات من البكاء بدون أي سبب ظاهر,depression,C,22
إحساس بالتعب أو الوهن,depression,C,23
ألم الظهر غير المبرر,depression,C,24
فقد الشهية وفقدان الوزن,depression,C,25
الرغبة الشديدة في تناول الطعام وزيادة الوزن ,depression,C,26
الأفكار الانتحارية والرغبة بالموت,depression,C,27
المخاوف المبالغ فيها حول المستقبل,anxiety+depression,C,28
انخفاض احترام الذات أو قلة الثقة بالنفس,depression,C,29
المزاج المكتئب والتفكير السلبي أو الشعور بالفراغ الداخلي المستمر,depression,B,30
انعدام التلذذ فقدان الاهتمام أو فقدان الشعور بالمتعة في بعض الأنشطة التي عادة ما تجلب الفرح,depression,A,31
